id,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,district,street,underground,residential_complex,price
39,Apple Real Estate,real_estate_agent,Москва,sale,flat,4,6,3,143.7,Пресненский,Большой Гнездниковский переулок,Тверская,Респект,167.0
40,Optima Development,developer,Москва,sale,flat,25,41,2,48.3,Хорошевский,Ленинградский проспект,Петровский Парк,Прайм Парк,39.8746
41,Gethome,real_estate_agent,Москва,sale,flat,6,12,5,170.1,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,204.12
42,ID 39404589,developer,Москва,sale,flat,8,34,2,39.2,Нагорный,Электролитный проезд,Нагорная,Twelve,16.1504
43,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,3,5,1,21.88,Московский,Пулковский меридиан,Звездная,Парадный ансамбль,4.000057
44,ID 39404589,developer,Москва,sale,flat,25,34,2,41.4,Обручевский,,Калужская,Эвер ЖК,20.286
45,Contact Real Estate,real_estate_agent,Москва,sale,flat,15,44,4,117.0,Раменки,Минская ,Минская,Долина Сетунь,107.5
46,Марина Хмылова,realtor,Санкт-Петербург,sale,flat,1,19,1,23.7,Василеостровский, Вадима Шефнера,Приморская,"Светлый мир ""Я-романтик""",4.95
47,Regions Development,developer,Москва,sale,flat,2,23,2,69.7,Нагатинский затон,,Технопарк,Дрим Тауэрс ЖК,28.800483
48,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,14,18,5,220.0,Раменки, Улофа Пальме,Минская,,95.0
49,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,2,6,3,118.7,Хамовники,переулок Хилков,Кропоткинская,Особняк в Хилковом переулке,214.9999
50,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,6,10,1,32.0,Петроградский,Аптекарский проспект,Петроградская,Skandi Klubb,13.6
51,ID 111576386,homeowner,Санкт-Петербург,sale,flat,4,5,4,93.2,Адмиралтейский, Егорова,Фрунзенская,,18.7
52,White and Broughton,real_estate_agent,Москва,sale,flat,16,40,1,41.1,Хорошевский,Ленинградский проспект,Динамо,Прайм Парк,31.5
53,ID 103692468,unknown,Санкт-Петербург,sale,flat,2,8,2,104.0,Петроградский, Всеволода Вишневского,Петроградская,,30.5
54,Группа Аквилон,developer,Москва,sale,flat,4,23,1,34.8,Хорошевский,,Зорге,Инди Тауэрс ЖК,16.34381
55,GloraX,developer,Санкт-Петербург,sale,flat,11,14,1,34.16,Красногвардейский,проспект Энергетиков,,GloraX Заневский,13.079999
56,РКС Девелопмент,developer,Москва,sale,flat,7,16,3,69.74,Даниловский,Автозаводская ,Тульская,Дом на набережной INSIDER,26.996354
57,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,3,11,2,45.9,Приморский,Фермское шоссе,Удельная,,14.4585
58,Геннадий Свиридов,realtor,Москва,sale,flat,5,5,3,71.4,Замоскворечье,Большая Пионерская ,Серпуховская,,26.5
59,GloraX,developer,Санкт-Петербург,sale,flat,4,15,2,43.1,Красногвардейский,переулок Уткин,,Апарт-отель GloraX Заневский,13.729999
60,Комьюнити,real_estate_agent,Москва,sale,flat,2,2,-1,21.3,Преображенское,Суворовская ,Преображенская площадь,,7.82775
61,ID 20374442,unknown,Москва,sale,flat,3,9,1,32.0,Соколиная гора, 9-я Соколиной Горы,Соколиная гора,,12.4
62,Whitewill,real_estate_agent,Москва,sale,flat,6,12,3,107.0,Хамовники, Усачева,Спортивная,Садовые кварталы,160.5
63,GloraX,developer,Санкт-Петербург,sale,flat,3,9,1,23.71,Адмиралтейский, Шкапина,Балтийская,GloraX Балтийская,8.909999
64,AAG,developer,Санкт-Петербург,sale,flat,3,9,3,95.28,Красногвардейский, Помяловского,Новочеркасская,Akzent,37.49661
65,Apple Real Estate,real_estate_agent,Москва,sale,flat,5,21,3,116.78,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,120.0
66,Whitewill,real_estate_agent,Москва,sale,flat,24,42,4,212.0,Щукино,Авиационная ,Щукинская,Алые Паруса,178.0
67,ID 89410543,unknown,Санкт-Петербург,sale,flat,3,12,2,52.2,Невский, Бадаева,Проспект Большевиков,,9.878787
68,Группа Аквилон,developer,Санкт-Петербург,sale,flat,4,12,3,80.29,Московский,Звёздное,Звездная,Триумф Парк ЖК,18.585789
69,Концерн КРОСТ,developer,Москва,sale,flat,11,24,2,77.5,Щукино,,Октябрьское поле,Театральный Квартал ЖК,31.93
70,REPLACE,real_estate_agent,Москва,sale,flat,21,21,5,370.0,Раменки,Минская ,Ломоносовский проспект,Золотые Ключи 2,130.0
71,GloraX,developer,Санкт-Петербург,sale,flat,2,15,1,32.45,Выборгский,,,Глоракс Парголово ЖК,5.839999
72,BARNES International Realty,real_estate_agent,Москва,sale,flat,4,8,4,238.0,Хамовники,1-й Зачатьевский переулок,Кропоткинская,Новая Остоженка,285.0
73,ГлавстройСПб,developer,Санкт-Петербург,sale,flat,18,27,1,38.76,Выборгский,Заречная ,Проспект Просвещения,Северная долина,7.78107
74,ФСК Агент,real_estate_agent,Москва,sale,flat,32,43,1,46.6,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Sydney City,23.5
75,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,2,2,-1,308.8,Петроградский,2-я Березовая аллея,Черная речка,,178.5
76,Галс-Девелопмент,developer,Москва,sale,flat,4,6,1,51.2,Замоскворечье,Космодамианская набережная,Новокузнецкая,Клубный дом Космо 4/22,55.5008
77,Prime Life Development,developer,Москва,sale,flat,6,25,1,40.26,Нагатино-Садовники,Нагатинская ,Нагатинская,1-й Нагатинский,22.151658
78,Стоун,developer,Санкт-Петербург,sale,flat,2,6,2,46.47,Московский,Пулковское шоссе,Звездная,Перспектива,7.4702
79,Whitewill,real_estate_agent,Москва,sale,flat,3,12,-1,237.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,296.0
80,NIKA ESTATE,real_estate_agent,Москва,sale,flat,2,7,4,161.6,Арбат, Малая Молчановка,Арбатская,,265.5
81,Ташир,developer,Москва,sale,flat,24,32,2,62.7,Черемушки,Херсонская ,Калужская,ONYX Deluxe,30.0333
82,Ленстройтрест,developer,Санкт-Петербург,sale,flat,2,5,2,64.37,Колпинский,проезд Понтонный,Рыбацкое,Юттери,10.93175
83,Космополис,real_estate_agent,Москва,sale,flat,7,9,1,31.9,Коньково,Миклухо-Маклая ,,,10.3
84,Sminex,developer,Москва,sale,flat,3,6,1,78.7,Басманный,Потаповский переулок,Чистые пруды,Чистые Пруды,158.48
85,DealEstate,real_estate_agent,Санкт-Петербург,sale,flat,2,4,5,443.0,Петроградский,Чкаловское,Крестовский остров,,400.0
86,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,2,6,2,53.2,Василеостровский,11-я Васильевского острова линия,Василеостровская,,17.3926
87,Kalinka Group,real_estate_agent,Москва,sale,flat,36,44,5,165.0,Раменки,Минская ,Минская,Долина Сетунь,147.0
88,Россита Габриелян,realtor,Санкт-Петербург,sale,flat,7,12,3,62.4,Красногвардейский, Коммуны,Улица Дыбенко,,9.5
89,LEGENDA Intelligent Development,developer,Санкт-Петербург,sale,flat,2,7,2,59.2,Выборгский,Сампсониевское,Выборгская,Сампсониевский 32,19.2696
90,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,1,22,1,32.3,Красногвардейский,м. Гражданский проспект,Гражданский проспект,Цветной Город,4.79655
91,Whitewill,real_estate_agent,Москва,sale,flat,7,41,4,132.9,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,78.5
92,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,2,13,3,115.6,Петроградский,Барочная ,Чкаловская,,42.772
93,Prime Life Development,developer,Москва,sale,flat,3,28,2,58.6,Нагатино-Садовники,Нагатинская ,Нагатинская,1-й Нагатинский,28.059588
94,Whitewill,real_estate_agent,Москва,sale,flat,7,11,4,203.0,Аэропорт,Ленинградский проспект,Петровский Парк,ВТБ Арена парк,140.0
95,РСТИ,developer,Санкт-Петербург,sale,flat,2,9,1,18.62,Красносельский, Тамбасова,Проспект Ветеранов,Кинопарк,4.973572
96,ID 1082032,unknown,Санкт-Петербург,sale,flat,21,22,1,25.0,Московский,Пулковское шоссе,Звездная,Инвест-отель Salut!,5.45
97,Наталия Тоцкая,realtor,Санкт-Петербург,sale,flat,4,8,2,65.77,Петроградский,Ремесленная ,Василеостровская,,26.0
98,MR Group,developer,Москва,sale,flat,12,39,2,55.24,Западное Дегунино,Северный ао,Селигерская,Селигер Сити ЖК,20.065366
99,Центр-Инвест,representative_developer,Москва,sale,flat,7,28,2,59.5,Раменки,Винницкая ,Раменки,Настоящее,31.621221
100,Этажи Москва,real_estate_agent,Москва,sale,flat,7,8,1,31.0,Филимонковское поселение, Харлампиева,,Дубровка,7.3
101,PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,21,22,4,101.0,Марьино,Поречная ,Марьино,,21.5
102,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,13,23,2,47.57,Красносельский,Юго-Запад,Автово,Морская миля ЖК,11.79736
103,Комьюнити,real_estate_agent,Москва,sale,flat,2,3,1,43.8,Преображенское,Суворовская ,Преображенская площадь,,13.14
104,Delight  Realty,real_estate_agent,Москва,sale,flat,3,6,3,128.0,Хамовники,переулок Хилков,Кропоткинская,Особняк в Хилковом переулке,189.0
105,Киноцентр,developer,Москва,sale,flat,4,20,2,73.02,Пресненский,,Краснопресненская,Скай Вью ЖК,60.17308
106,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,4,8,4,134.7,Петроградский, Графтио,Петроградская,,40.41
107,РГ-Девелопмент,developer,Москва,sale,flat,2,19,1,43.7,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,Петровский парк II,19.35473
108,Суслов недвижимость,real_estate_agent,Санкт-Петербург,sale,flat,3,9,3,65.7,Невский, Подвойского,Улица Дыбенко,,11.999999
109,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,11,13,2,83.0,Хамовники, Усачева,Спортивная,Садовые кварталы,110.0
110,ID 12531174,realtor,Москва,sale,flat,44,44,3,86.3,Хорошево-Мневники, Шеногина,Народное Ополчение,Sydney City,40.97
111,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,4,5,1,34.47,Московский,Пулковское шоссе,Звездная,Парадный ансамбль,6.550196
112,РГ-Девелопмент,developer,Москва,sale,flat,10,15,3,71.8,Головинский,Северный ао,Коптево,Михалковский ЖК,22.617
113,NIKA ESTATE,real_estate_agent,Москва,sale,flat,7,8,4,190.0,Тверской,Сущевская ,Менделеевская,,119.0
114,Euroinvest Development,developer,Санкт-Петербург,sale,flat,3,10,1,41.98,Московский,Московский проспект,Фрунзенская,ID Moskovskiy,20.1504
115,NIKA ESTATE,real_estate_agent,Москва,sale,flat,10,14,4,120.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,66.8
116,HYDE Residences,real_estate_agent,Москва,sale,flat,57,68,3,102.0,Пресненский,1-й Красногвардейский проезд,Тестовская,NEVA TOWERS,70.3
117,SaFri,real_estate_agent,Санкт-Петербург,sale,flat,7,12,1,32.2,Приморский,Озеро Долгое,Старая Деревня,ArtLine,7.6
118,Verges of estate,real_estate_agent,Москва,sale,flat,11,12,3,73.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,47.5
119,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,18,23,2,55.81,Невский,Невский,Проспект Большевиков,Пульс Премьер ЖК,14.900432
120,ID 413522,realtor,Москва,sale,flat,10,21,3,104.55,Пресненский,2-я Звенигородская ,Улица 1905 года,Lucky,101.0
121,MR Group,developer,Москва,sale,flat,19,36,3,99.0,Беговой,Ленинградский проспект,Белорусская,Slava,63.80767
122,Космополис,real_estate_agent,Москва,sale,flat,12,12,1,38.0,Северное Тушино, Вилиса Лациса,,,12.999999
123,Рикэл,developer,Санкт-Петербург,sale,flat,5,25,1,51.4,Калининский,Светлановский проспект,Гражданский проспект,Эврика,9.4062
124,ID 73038306,real_estate_agent,Санкт-Петербург,sale,flat,1,5,2,48.6,Московский,Витебский проспект,Купчино,,9.1
125,Унистрой,developer,Санкт-Петербург,sale,flat,4,10,2,75.4,Красногвардейский,Большая Охта,Площадь Ленина,Юпоинт ЖК,18.95
126,TimeProperty,real_estate_agent,Москва,sale,flat,1,10,4,206.6,Хамовники, Льва Толстого,Парк Культуры,,420.0
127,GloraX,developer,Санкт-Петербург,sale,flat,6,9,3,62.8,Адмиралтейский, Шкапина,Балтийская,GloraX Балтийская,19.729999
128,Whitewill,real_estate_agent,Москва,sale,flat,5,9,5,202.0,Хамовники,Погодинская ,Фрунзенская,GRAND DELUXE на Плющихе,330.0
129,Трансстройинвест,representative_developer,Москва,sale,flat,13,23,3,102.9,Очаково-Матвеевское,Очаково мкр,Озёрная,ОМ ЖК,39.737716
130,Красная Стрела,developer,Санкт-Петербург,sale,flat,3,9,1,26.91,Василеостровский,7-я Васильевского острова линия,Василеостровская,Регенбоген,10.497494
131,Монолит,developer,Санкт-Петербург,sale,flat,2,15,1,39.5,Невский, Евдокима Огнева,Улица Дыбенко,WINGS апартаменты на Крыленко,8.164532
132,Gethome,real_estate_agent,Москва,sale,flat,6,12,3,110.9,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,144.17
133,Apple Real Estate,real_estate_agent,Москва,sale,flat,7,16,2,74.0,Раменки,Минская ,Минская,Золотые Ключи 2,40.0
134,Унистрой,developer,Санкт-Петербург,sale,flat,4,10,1,35.0,Красногвардейский,Большая Охта,Площадь Ленина,Юпоинт ЖК,13.23
135,SHOW ME,real_estate_agent,Москва,sale,flat,6,6,-1,522.0,Беговой, 3-я Ямского Поля,Белорусская,Art Residence,270.0
136,TimeProperty,real_estate_agent,Москва,sale,flat,7,16,4,173.0,Обручевский, Архитектора Власова,Новые Черёмушки,,60.0
137,Kalinka Group,real_estate_agent,Москва,sale,flat,3,12,-1,303.8,Раменки,Мосфильмовская ,Ломоносовский проспект,Вишневый сад,380.0
138,Ташир,developer,Москва,sale,flat,2,21,3,72.0,Очаково-Матвеевское,Аминьевское шоссе,Давыдково,West Tower (Апартаменты бизнес-класса),21.24
139,NF GROUP  St Petersburg,real_estate_agent,Санкт-Петербург,sale,flat,3,9,3,83.1,Петроградский,проспект Медиков,Петроградская,Европа Сити,33.5
140,Verges of estate,real_estate_agent,Москва,sale,flat,3,31,3,118.0,Очаково-Матвеевское,Нежинская ,Славянский бульвар,Кутузовская Ривьера,57.0
141,GloraX,developer,Санкт-Петербург,sale,flat,2,9,1,35.99,Адмиралтейский, Шкапина,Балтийская,GloraX Балтийская,11.849999
142,Татьяна Гребнева,realtor,Санкт-Петербург,sale,flat,9,18,1,51.6,Приморский, Оптиков,Беговая,Приморский каскад,12.0
143,COLDY,developer,Москва,sale,flat,-1,-1,-1,202.0,Хамовники,переулок 1-й Тружеников,Киевская,Хамовники 12,183.834633
144,Винидиктов и Партнеры,real_estate_agent,Москва,sale,flat,2,6,4,105.0,Басманный, Машкова,Красные ворота,,54.9
145,Ramenky Realty,real_estate_agent,Москва,sale,flat,5,12,2,90.4,Хамовники, Усачева,Спортивная,Садовые кварталы,99.0
146,Ташир,developer,Москва,sale,flat,28,32,2,78.1,Черемушки,Херсонская ,Калужская,ONYX Deluxe,33.326832
147,Стоун,developer,Санкт-Петербург,sale,flat,4,6,1,37.51,Московский,Пулковское шоссе,Звездная,Перспектива,5.88656
148,ЭЛИТА-ЭКО,developer,Москва,sale,flat,2,14,1,30.45,Дорогомилово,1-й Можайский тупик,Киевская,D'ORO MILLE,29.20155
149,Юлия Кузнецова,realtor,Санкт-Петербург,sale,flat,4,19,1,42.0,Адмиралтейский,Московский проспект,Фрунзенская,Времена года,16.7
150,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,2,23,2,47.43,Красносельский,Юго-Запад,Автово,Морская миля ЖК,11.24091
151,AAG,developer,Санкт-Петербург,sale,flat,6,7,-1,147.1,Василеостровский,Васильевский,Василеостровская,Amo,62.465188
152,Альфа Фаберже,developer,Санкт-Петербург,sale,flat,3,8,2,70.7,Петроградский,набережная Реки Карповки,Петроградская,Клубный дом MELTZER HALL,29.694
153,Сенатор,developer,Санкт-Петербург,sale,flat,5,12,2,46.0,Курортный,Приморское шоссе,,МФК Морская ривьера,16.8264
154,BARNES International Realty,real_estate_agent,Москва,sale,flat,2,4,-1,450.0,Крылатское,Островной проезд,Молодёжная,Остров Фантазий,280.0
155,SENATOR,developer,Санкт-Петербург,sale,flat,11,12,1,21.1,Невский,Октябрьская набережная,Пролетарская,Панорама Невы,6.591
156,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,14,17,1,21.8,Василеостровский,Гавань,Приморская,Морская Набережная ЖК,6.5073
157,Bespoke Estate,real_estate_agent,Москва,sale,flat,6,6,-1,640.0,Пресненский,Большая Никитская ,Баррикадная,Большая Никитская 45,1200.0
158,Екатерина Смирнова,realtor,Санкт-Петербург,sale,flat,7,16,1,35.1,Калининский,Кондратьевский проспект,Площадь Мужества,,8.5
159,Стадион Спартак,developer,Москва,sale,flat,2,13,3,79.3,Покровское-Стрешнево,Северо-Западный ао,Спартак,Клубный Город на Реке Примавера ЖК,38.83321
160,Gethome,real_estate_agent,Москва,sale,flat,11,53,4,151.0,Раменки,Мосфильмовская ,Минская,Дом на Мосфильмовской,85.0
161,Петербургская Строительная Компания,developer,Санкт-Петербург,sale,flat,3,25,1,36.83,Приморский,Коломяги,Озерки,Френдс ЖК,7.712673
162,ЛюксДом,real_estate_agent,Москва,sale,flat,8,8,4,200.5,Тверской,Сущевская ,Менделеевская,,118.9
163,Колди,developer,Москва,sale,flat,18,21,2,54.0,Нижегородский,Автомобильный проезд,Калитники,N’ice Loft,21.691659
164,Престиж,real_estate_agent,Санкт-Петербург,sale,flat,12,12,2,79.9,Приморский,проспект Авиаконструкторов,Комендантский проспект,Modum,24.0
165,Point Estate Город,real_estate_agent,Москва,sale,flat,14,15,-1,260.0,Хамовники, Усачева,Спортивная,Садовые кварталы,351.793
166,Евгения Звягина,realtor,Санкт-Петербург,sale,flat,2,16,1,43.0,Василеостровский,Морская набережная,Приморская,,11.2
167,Арсенал-Недвижимость,developer,Санкт-Петербург,sale,flat,6,12,3,82.84,Приморский,проспект Авиаконструкторов,Комендантский проспект,Modum,20.599823
168,ID 47664046,unknown,Москва,sale,flat,4,12,2,52.0,Ярославский, Проходчиков,Медведково,,15.55
169,Э.К. Девелопмент,developer,Москва,sale,flat,9,26,1,38.4,Чертаново Южное,Варшавское шоссе,Лесопарковая,Зеленая Вертикаль,12.9792
170,Центр-Инвест,developer,Москва,sale,flat,12,35,3,57.5,Левобережный,Фестивальная ,Речной вокзал,Фестиваль парк-2,25.313093
171,BARNES International Realty,real_estate_agent,Москва,sale,flat,30,34,3,108.0,Раменки,Мосфильмовская ,Киевская,Дом на Мосфильмовской,79.99
172,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,2,11,3,97.8,Красногвардейский,Пискаревский проспект,,Четыре горизонта,45.0
173,Monumental Group,real_estate_agent,Москва,sale,flat,35,48,5,170.0,Хорошево-Мневники,проспект Маршала Жукова,Октябрьское поле,Континенталь,79.97
174,AAG,developer,Санкт-Петербург,sale,flat,11,12,2,89.4,Красногвардейский,проспект Шаумяна,Новочеркасская,Alter,38.715268
175,ID 47105242,realtor,Москва,sale,flat,5,6,2,56.0,Хамовники, Доватора,Спортивная,,39.5
176,EraOneHolding,developer,Москва,sale,flat,8,8,2,121.2,Арбат, Арбат,Смоленская,Turandot Residences,146.715789
177,Мария Маркитан,realtor,Санкт-Петербург,sale,flat,4,5,-1,237.9,Центральный,Невский проспект,Адмиралтейская,,83.61
178,Level Group,developer,Москва,sale,flat,24,26,2,41.8,Нагатино-Садовники,1-й Нагатина кв-л,Нагатинская,Левел Нагатинская ЖК,18.21044
179,Галс-Девелопмент,developer,Москва,sale,flat,2,6,2,102.4,Арбат,Поварская ,Арбатская,De Luxe квартал апартаментов ,98.2016
180,Intermark Real Estate,real_estate_agent,Москва,sale,flat,2,3,2,77.0,Хамовники,Саввинская набережная,Киевская,,50.0
181,ЖИR Private,real_estate_agent,Москва,sale,flat,8,29,5,175.0,Щукино,Авиационная ,Щукинская,Алые Паруса,94.9
182,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,5,4,181.4,Хамовники,переулок Плотников,Смоленская,,140.0
183,Ольга Ивановская,realtor,Санкт-Петербург,sale,flat,11,17,2,65.8,Красносельский,Ленинский проспект,Ленинский проспект,,9.9
184,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,24,35,4,212.3,Щукино,Авиационная ,Щукинская,Алые Паруса,178.0
185,CENTURY 21,real_estate_agent,Москва,sale,flat,9,10,3,100.4,Москворечье-Сабурово,переулок 1-й Котляковский,Варшавская,LIFE Варшавская,30.0
186,Intermark Real Estate,real_estate_agent,Москва,sale,flat,4,5,4,115.0,Хамовники,Пречистенский переулок,Кропоткинская,,115.0
187,Aleksandr Efremov,realtor,Москва,sale,flat,1,4,3,87.0,Красносельский,переулок Рыбников,Тургеневская,,45.0
188,Sminex,developer,Москва,sale,flat,2,6,3,176.5,Басманный,Потаповский переулок,Чистые пруды,Чистые Пруды,312.12
189,NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,2,12,4,190.5,Раменки, Улофа Пальме,Ломоносовский проспект,Lake House,175.0
190,Gethome,real_estate_agent,Москва,sale,flat,19,53,4,145.0,Раменки,Мосфильмовская ,Ломоносовский проспект,Дом на Мосфильмовской,97.0
191,ID 104795526,official_representative,Москва,sale,flat,2,9,-1,31.2,Хамовники,Комсомольский проспект,Фрунзенская,,20.9992
